manu_sku,product_name,prod_page_url,updated_on,CASE,Price,Code
S-16727,Kraft Shipping Box 5x5x8,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.8, 0.7, 0.68, 0.64, 0.59]","['C', 'C', 'C', 'C', 'C']"
S-4581,Kraft Shipping Box 5x5x10,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.89, 0.82, 0.75, 0.73, 0.69]","['C', 'C', 'C', 'C', 'C']"
S-16728,Kraft Shipping Box 5x5x12,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.99, 0.89, 0.85, 0.8, 0.7]","['C', 'C', 'C', 'C', 'C']"
S-23957,Kraft Shipping Box 5x5x24,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.69, 1.53, 1.29, 1.22, 1.14]","['C', 'C', 'C', 'C', 'C']"
S-11368,Kraft Shipping Box 5x5x36,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[1.9, 1.7, 1.59, 1.51, 1.48]","['C', 'C', 'C', 'C', 'C']"
S-22167,Kraft Shipping Box 5x5x40,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[2.17, 2.01, 1.8, 1.72, 1.67]","['C', 'C', 'C', 'C', 'C']"
S-19815,Kraft Shipping Box 5x5x48,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[2.76, 2.63, 2.2, 2.13, 2.01]","['C', 'C', 'C', 'C', 'C']"
S-4242,Kraft Shipping Box 5x5x50,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[2.85, 2.68, 2.27, 2.17, 2.06]","['C', 'C', 'C', 'C', 'C']"
S-13284,Kraft Shipping Box 5x5x60,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[3.96, 3.63, 3.17, 2.96, 2.75]","['C', 'C', 'C', 'C', 'C']"
S-4244,Kraft Shipping Box 6x3x3,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.47, 0.43, 0.41, 0.37, 0.36]","['C', 'C', 'C', 'C', 'C']"
